gap_id,gap_type,strategy,from_street,to_street,route_found,fallback_route,total_length_m,straight_line_m,detour_ratio,worst_lts,lts_problem_length_m,lts_problem_pct,upgrade_complexity,dominant_facility,estimated_cost_cad,route_quality,notes
GAP-054,connector,lts,Hagen Court,Unnamed service,False,False,0.0,463.4,1.0,1,0.0,0.0,,,0,,No road network path found between endpoints. Check if endpoints are in disconnected road graph areas.
GAP-020,island,lts,University Avenue East,Carter Avenue,True,False,99.1,94.9,1.04,3,99.1,100.0,complex,painted_cycle_lane,29743,fair,
GAP-077,dangling,lts,Strasburg Road,Huron Road,True,False,1487.2,364.2,4.08,4,1487.2,100.0,complex,grade_separated_path,7912915,poor,Route detour ratio 4.1x exceeds threshold (2.5x) — direct corridor study recommended.
GAP-017,island,lts,Keats Way,Keats Way,True,False,169.3,165.2,1.03,3,169.3,100.0,complex,protected_cycle_track,423273,fair,
GAP-021,island,lts,Glasgow Street,Glasgow Street,True,False,96.4,94.3,1.02,2,0,0.0,straightforward,protected_cycle_track,240894,excellent,
GAP-059,connector,lts,Woolwich Street,Unnamed service,False,False,0.0,459.3,1.0,1,0.0,0.0,,,0,,No road network path found between endpoints. Check if endpoints are in disconnected road graph areas.
GAP-060,connector,lts,Homer Watson Boulevard,Homer Watson Boulevard,True,False,2085.4,457.3,4.56,4,2085.4,100.0,complex,grade_separated_path,13759417,poor,Route detour ratio 4.6x exceeds threshold (2.5x) — direct corridor study recommended.
GAP-145,dangling,lts,Fountain Street North,Fountain Street North,True,False,57.8,63.2,0.91,4,57.8,100.0,complex,grade_separated_path,462352,poor,
GAP-013,island,lts,Mill Street,Highland Road East,False,False,0.0,360.9,1.0,1,0.0,0.0,,,0,,No road network path found between endpoints. Check if endpoints are in disconnected road graph areas.
GAP-023,island,lts,Belmont Avenue West,Belmont Avenue West,True,False,65.9,73.6,0.9,4,65.9,100.0,complex,protected_cycle_track,164749,poor,
GAP-089,connector,lts,Strasburg Road,Huron Road,True,False,863.8,332.4,2.6,4,863.8,100.0,complex,painted_cycle_lane,599891,poor,Route detour ratio 2.6x exceeds threshold (2.5x) — direct corridor study recommended.
GAP-116,connector,lts,Fountain Street South,Trans-Canada Trail,False,False,0.0,249.6,1.0,1,0.0,0.0,,,0,,No road network path found between endpoints. Check if endpoints are in disconnected road graph areas.
GAP-001,island,lts,East Avenue,Charles Street East,False,False,0.0,1111.2,1.0,1,0.0,0.0,,,0,,No road network path found between endpoints. Check if endpoints are in disconnected road graph areas.
GAP-082,connector,lts,Huron Road,Huron Road,True,False,2834.7,350.7,8.08,4,2392.6,84.4,complex,painted_cycle_lane,7671468,poor,Route detour ratio 8.1x exceeds threshold (2.5x) — direct corridor study recommended.
GAP-026,island,lts,Northfield Drive West,Northfield Drive West,False,False,0.0,42.0,1.0,1,0.0,0.0,,,0,,No road network path found between endpoints. Check if endpoints are in disconnected road graph areas.
GAP-004,island,lts,Unnamed service,Ira Needles Boulevard,False,False,0.0,908.5,1.0,1,0.0,0.0,,,0,,No road network path found between endpoints. Check if endpoints are in disconnected road graph areas.
GAP-005,island,lts,McGarry Drive,Fischer-Hallman Road,True,False,1439.5,713.2,2.02,3,1439.5,100.0,complex,painted_cycle_lane,1753838,fair,
GAP-025,island,lts,Bennington Gate,Columbia Street West,False,False,0.0,61.4,1.0,1,0.0,0.0,,,0,,No road network path found between endpoints. Check if endpoints are in disconnected road graph areas.
GAP-007,island,lts,Woodhurst Court,Westforest Trail,False,False,0.0,529.1,1.0,1,0.0,0.0,,,0,,No road network path found between endpoints. Check if endpoints are in disconnected road graph areas.
GAP-029,island,lts,Erb Street West,Erb Street West,True,False,28.3,24.7,1.15,4,28.3,100.0,complex,grade_separated_path,226206,poor,
GAP-028,island,lts,Laurelwood Drive,Laurelwood Drive,True,False,9.8,26.4,0.37,4,9.8,100.0,complex,protected_cycle_track,24574,poor,
GAP-018,island,lts,Lexington Road,Lexington Road,True,False,114.7,114.7,1.0,4,114.7,100.0,complex,grade_separated_path,917691,poor,
GAP-006,island,lts,Foxglove Crescent,Royal Orchard Place,False,False,0.0,647.8,1.0,1,0.0,0.0,,,0,,No road network path found between endpoints. Check if endpoints are in disconnected road graph areas.
GAP-050,detour,lts,Unnamed tertiary,Unknown,False,False,0.0,596.0,1.0,1,0.0,0.0,,,0,,No road network path found between endpoints. Check if endpoints are in disconnected road graph areas.
